Country;Breast Cancer;Cervix;Colon Female;Colon Male;Liver Female;Liver Male;Lung Female;Lung Male;Prostate Male;Stomach Female;Stomach Male
Afghanistan;26.8;6.9;4.5;5.2;2.5;3.7;2.9;12.2;4.5;9.7;18.5
Albania;57.4;25.2;19.3;28.1;3;5.3;13.2;58.9;15.1;6.9;16.5
Algeria;23.5;15.6;5;5.5;1;0.8;2;16.9;5.6;3.1;5.9
Angola;23.1;28.6;3;4.3;3.7;5.3;1.3;7.2;12.7;9.7;14.1
Argentina;73.9;23.2;19.1;30.1;1.9;3.5;8;43.3;36.8;6;14.6
Armenia;51.6;16.8;7.9;8.5;2.6;4.2;7.5;58.9;10.2;9.9;21.7
Australia;83.2;6.9;35.9;47.4;1.3;3.8;16.8;39.5;76;4.1;9.8
Austria;70.5;10.9;27.8;42.1;2.9;7.8;14.3;42.6;71.4;8.6;13.5
Azerbaijan;31.5;8.2;4.3;5.7;1.9;3.3;6.1;33;7.5;15.6;36
Bahamas;54.4;16.7;14.7;15.2;2;3.7;5.1;21.2;65.3;8.1;16.5
Bahrain;40.2;8.5;7.3;12.3;4.2;4.2;13.3;30.5;15.9;5.8;8.2
Bangladesh;16.6;27.6;0.9;1;1.4;1.3;3.5;22.4;0.3;1;1.6
Barbados;62.5;24.9;18.5;24.1;1.9;2.9;3.3;15.3;99.7;6.7;21.5
Belarus;36;13.1;18;25.8;1.8;5;4.5;65.6;19;16.9;41.9
Belgium;92;9.4;26.8;37;2.1;4.2;12.2;75.3;74.2;4.8;9.4
Belize;29.8;52.4;5.8;4.9;9;3.6;3.6;21.2;77.3;12;25.7
Benin;28.1;29.3;3.5;5.1;5.6;15.3;0.6;2.4;19.3;3.6;3.4
Bhutan;21.8;26.4;3.4;4.7;1.4;2.6;2.4;11.9;4.4;3.5;6.8
Bolivia;24.7;55;8.5;15.9;2.7;3.6;3.3;12.6;36.4;8.3;19.4
Bosnia and Herzegovina;58.9;21.3;21.8;33.9;3;5.8;13.2;63;19;8.1;18.6
Botswana;33.4;30.4;4.3;6.2;2.3;4.5;3;8.7;30.6;2.2;3.8
Brazil;46;23.4;14.3;14.4;2.4;3.4;7.1;21.5;53.2;8.8;20.6
Brunei;20.6;18.7;13.2;15.7;3.1;9.5;11.6;24.3;6.4;6.4;16
Bulgaria;46.2;18.7;17;25.6;2.5;4.9;6.7;45.6;14.8;9.2;19.8
Burkina Faso;30.6;23.4;1;4;8.4;24.3;2.2;4.7;13.8;3.7;2.3
Burundi;19.5;42.7;4.1;6.7;8.6;21.1;2.2;3.6;13.8;5.5;7.4
Cambodia;21.5;38.7;5.4;11.3;2.5;15;4.8;22.5;7.5;5.1;16.1
Cameroon;29.7;35.7;4;4.3;13.2;41.3;0.3;3;25.3;2.9;0.6
Canada;84.3;7.7;30.6;42.2;1.4;4;31.6;55.8;78.2;4;9.1
Cape Verde;28.1;29.3;3.5;5.1;5.6;15.3;0.6;2.4;19.3;3.6;3.4
Central African Rep.;16.5;28;3.3;2.3;13.4;27.8;0.7;4.7;24.5;12.7;13.4
Chad;16.5;28;3.3;2.3;13.4;27.8;0.7;4.7;24.5;12.7;13.4
Chile;43.9;25.8;15.1;15.8;2.4;4.3;9.4;26.1;40.6;17.7;46.1
China;18.7;6.8;9.3;13.6;14.2;37.9;19;42.4;1.7;19.2;41.4
Colombia;30.3;36.4;14.6;11.7;3.1;3.3;10.1;20.2;48.3;20.3;36
Comoros;19.5;42.7;4.1;6.7;8.6;21.1;2.2;3.6;13.8;5.5;7.4
Congo, Dem. Rep.;10.3;25.1;3.1;1;16.6;30.1;0.6;4.5;29;17.8;18.9
Congo, Rep.;20.6;30.5;2.6;4.2;8;16.4;0.5;3.8;6.4;1.3;1.9
Costa Rica;30.9;21.6;12.2;11.6;3.6;5.4;5.3;12.5;34.9;22.1;41.2
Cote d'Ivoire;26;30.1;2.5;3.7;5;12.8;1.2;6.1;19.7;3.5;4.1
Croatia;62.1;13.3;25.9;44.7;3.6;7.3;12.7;76.4;24.6;10.6;23.5
Cuba;31.2;20.2;17;13.4;3.9;4.3;16.3;40;28.2;4.3;7.1
Cyprus;67.2;11.6;19.6;23.1;1.3;3.9;5.7;26.8;45.2;4.3;6.8
Czech Rep.;58.4;16.2;32;58.5;2.7;7.2;13.3;66.1;38.1;7.8;14.8
Denmark;88.7;12.6;33;41;2.3;4.3;29.8;45.3;39.3;3.9;7.9
Djibouti;19.5;42.7;4.1;6.7;8.6;21.1;2.2;3.6;13.8;5.5;7.4
Dominican Rep.;36.1;30.8;12.3;11.6;5.5;7.8;9.3;18.6;85.3;9.2;13.4
Ecuador;23.5;38.7;10;7.6;6.2;5.9;6.1;10.5;35.9;27;37.8
Egypt;24.2;9.7;2.9;4.3;3.3;6.1;2.9;8.6;4.4;2;3.4
El Salvador;13.6;45.6;6.2;4.4;4.4;4.2;4.3;5.9;26.8;21.1;23.6
Equatorial Guinea;16.5;28;3.3;2.3;13.4;27.8;0.7;4.7;24.5;12.7;13.4
Eritrea;19.5;42.7;4.1;6.7;8.6;21.1;2.2;3.6;13.8;5.5;7.4
Estonia;47.7;15.5;23.2;31.7;2;4.4;9.1;67.7;36.3;15.2;30.5
Ethiopia;24.7;35.9;4.2;7.7;3.9;19.3;3.2;2.7;4.3;5.1;6.9
Fiji;31.2;33.4;2.8;3.7;1.9;6.1;1.8;0.5;13.7;7.6;6.3
Finland;84.7;4.3;21.1;25.5;1.4;3.4;10.1;33.4;84.4;6;9.6
France;91.9;9.8;25.9;40.8;2.2;10.5;8.8;52.6;59.3;4.1;10.4
French Polynesia;34.2;28;10.7;14.9;4;12.3;1;17.4;20;11.6;24.7
Gabon;18.2;30.6;3.8;4.9;6;11.7;1.7;9.9;17.1;0.6;1.8
Gambia;6.4;28.8;2.5;1.3;16.9;45.6;0.6;5;4.7;2.1;2.4
Georgia;51.8;17.5;7.6;10.7;4.6;7.6;7.2;37.2;8.1;9.1;19.6
Germany;79.8;10.8;33.1;45.5;1.5;4.2;12.7;46.7;60.5;8.8;15.1
Ghana;28.1;29.3;3.5;5.1;5.6;15.3;0.6;2.4;19.3;3.6;3.4
Greece;51.6;7.7;15.6;19.4;4.9;12.9;8.7;58;26.2;5.9;12
Guam;50.4;9.4;11.8;15.3;3.2;8.5;15.5;44.2;20.4;4.4;5.5
Guatemala;25.9;30.6;7.4;7.9;4.9;4.9;6.5;16.1;30.6;10.8;15.2
Guinea;15.3;50.9;3.3;3.1;11.8;36.6;1.6;7.9;9.6;3.6;5.9
Guinea-Bissau;28.1;29.3;3.5;5.1;5.6;15.3;0.6;2.4;19.3;3.6;3.4
Guyana;29.5;47.3;8.9;16.5;0.2;1.3;5;7.5;51;8.8;13.9
Haiti;4.4;87.3;7.5;11.3;9.4;27.9;0.5;11;38.1;7;28.8
Honduras;25.9;30.6;7.4;7.9;4.9;4.9;6.5;16.1;30.6;10.8;15.2
