Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Afghanistan;1089.15162;1205.305056;1314.364729;1361.564785;1336.619708;1292.744819;1385.42645;1145.54812;1034.829439;1009.873573;953.5146868;948.0595413;872.659964;751.0515319;672.5617679;808.8680781;830.4196796;853.8450877;877.9757655;901.7501247;892.2387735;799.6817856;976.6691586;1055.14511;1081.472262;1174.582145;1193.282161;1321.945588;1323.495832
Albania;5141.289734;5168.872993;5197.293982;5227.633451;5257.394504;5284.909279;5318.490361;5351.961161;5385.848186;5426.464786;5474.941477;3889.965658;3574.867908;3888.645755;4178.035474;4702.960855;5109.568026;4570.583488;5131.295018;5622.988551;6005.083412;6407.074312;6590.533753;6949.816248;7322.045206;7685.262481;8090.42328;8528.395747;9111.710122
Algeria;10201.92333;10191.31167;10506.19576;10721.61215;10969.66345;11049.11881;10736.83655;10388.30226;9894.922552;10117.97855;10112.79638;9748.48761;9692.76153;9279.459073;9005.585945;9168.36559;9374.860054;9321.734892;9646.161427;9809.74442;9885.491284;10202.9068;10634.4256;11251.4123;11574.63194;12077.22937;12088.08762;12289.02726;12314.34698
Andorra;32166.97667;30891.71229;29989.29397;29213.05085;28451.84444;27876.61023;27596.6658;27959.57416;28234.34519;28458.45837;28417.37321;28028.69909;27218.16966;26010.54999;25906.77683;26142.96277;27179.76801;29729.44858;30819.17556;31939.79854;31662.4372;31793.82402;31865.97;34500.26;36329.5;39786.55;42738.4;43441.87;41425.99
Angola;4218.141229;3897.358294;3760.144851;3779.693122;3871.976479;3884.201503;3897.09641;4065.147272;4187.951377;4098.416369;3968.670389;3888.203553;3544.938731;2607.337986;2558.734506;2854.513406;3329.794997;3419.698805;3329.632762;3342.531667;3340.654977;3334.947335;3690.689524;3681.574455;3956.009985;4613.317229;5303.703307;6341.613866;7012.631643
Antigua and Barbuda;8185.316484;8703.470152;8838.109715;9548.132335;10393.03112;11384.10048;12597.12412;14018.14438;15425.39709;16588.69376;17124.49835;17387.93151;17278.07156;17810.18483;18462.05795;17238.12543;17910.11718;18328.49547;18662.71136;18978.09271;18848.52927;18895.86922;19049.16302;19747.45451;20883.52302;21571.41195;24004.48659;25392.81186;25488.83112
Argentina;11020.15763;10253.42244;9791.955268;10053.90546;10122.40754;9277.984636;9823.469154;9946.240695;9626.20841;8823.215352;8539.070326;9332.689585;10129.87984;10601.80863;11107.65339;10673.31877;11149.53034;11935.13655;12267.56055;11721.61808;11504.27872;10874.55993;9574.026065;10318.09642;11135.0719;12039.30165;12912.71124;13873.39737;14645.60287
Armenia;4071.129703;4040.364159;4070.82729;4130.096482;4108.776199;4073.973399;4168.717642;4151.333078;4170.141362;4175.78409;4014.01483;3481.791617;2061.881088;1965.835096;2141.900193;2332.476716;2474.41152;2559.739515;2755.475852;2847.832738;3020.874428;3327.244726;3847.158761;4399.586226;4878.292785;5577.178664;6306.199009;7161.244137;7640.549946
Aruba;14322.88528;15424.95427;16553.39088;17767.90604;19163.60556;20824.74326;22857.44895;26903.22102;32349.62665;36296.33428;37014.38489;38309.57968;38237.56589;38476.57481;39318.19992;38601.87004;38002.96774;40312.45493;42565.41762;42564.06507;43703.48868;42445.48698;40288.40779;39245.56649;41056.83287;40737.11409;40209.28572;40558.41564;38594.39833
Australia;23075.39649;23473.27451;23041.62699;22731.14648;24009.6229;24891.25622;25043.05609;25894.92099;26627.5653;27367.88007;27389.07261;27083.81458;27711.89005;28455.21989;29315.35748;30189.06621;30937.2261;31939.00949;33324.57855;34287.68875;34593.19961;35541.65753;36304.12594;37423.83668;37973.06841;38800.58131;39281.07032;40455.39975;40748.2208
