pmid	title	pubYear	authorString	firstAuthor	citedByCount	journalTitle	isOpenAccess	RetractedIn	minPubDate	minRetDate	monthsToRet
15604363	Visfatin: a protein secreted by visceral fat that mimics the effects of insulin.	2005	Fukuhara A, Matsuda M, Nishizawa M, Segawa K, Tanaka M, Kishimoto K, Matsuki Y, Murakami M, Ichisaka T, Murakami H, Watanabe E, Takagi T, Akiyoshi M, Ohtsubo T, Kihara S, Yamashita S, Makishima M, Funahashi T, Yamanaka S, Hiramatsu R, Matsuzawa Y, Shimomura I.	Fukuhara A	481	Science		17962537	18-12-2004	27-10-2007	35
11675329	Purification and ex vivo expansion of postnatal human marrow mesodermal progenitor cells.	2001	Reyes M, Lund T, Lenvik T, Aguiar D, Koodie L, Verfaillie CM.	Reyes M	469	Blood		19264926	25-10-2001	07-03-2009	90
9500320	Ileal-lymphoid-nodular hyperplasia, non-specific colitis, and pervasive developmental disorder in children.	1998	Wakefield AJ, Murch SH, Anthony A, Linnell J, Casson DM, Malik M, Berelowitz M, Dhillon AP, Thomson MA, Harvey P, Valentine A, Davies SE, Walker-Smith JA.	Wakefield AJ	425	Lancet		20137807	21-03-1998	09-02-2010	145
9822616	Viral pathogenicity determinants are suppressors of transgene silencing in Nicotiana benthamiana.	1998	Brigneti G, Voinnet O, Li WX, Ji LH, Ding SW, Baulcombe DC.	Brigneti G	405	EMBO J	N	26286615	21-11-1998	20-08-2015	204
19524507	A pleiotropically acting microRNA, miR-31, inhibits breast cancer metastasis.	2009	Valastyan S, Reinhardt F, Benaich N, Calogrias D, SzÌÁsz AM, Wang ZC, Brock JE, Richardson AL, Weinberg RA.	Valastyan S	387	Cell	N	25879117	16-06-2009	17-04-2015	71
15833829	Spontaneous human adult stem cell transformation.	2005	Rubio D, Garcia-Castro J, MartÌ_n MC, de la Fuente R, Cigudosa JC, Lloyd AC, Bernad A.	Rubio D	376	Cancer Res		20710046	19-04-2005	17-08-2010	65
12531578	Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial.	2003	Nakao N, Yoshimura A, Morita H, Takada M, Kayano T, Ideura T.	Nakao N	341	Lancet		19819378	18-01-2003	13-10-2009	82
16609730	Identification of a novel Gammaretrovirus in prostate tumors of patients homozygous for R462Q RNASEL variant.	2006	Urisman A, Molinaro RJ, Fischer N, Plummer SJ, Casey G, Klein EA, Malathi K, Magi-Galluzzi C, Tubbs RR, Ganem D, Silverman RH, DeRisi JL.	Urisman A	307	PLoS Pathog	Y	23028303	13-04-2006	03-10-2012	79
15829920	Cellular APOBEC3G restricts HIV-1 infection in resting CD4+ T cells.	2005	Chiu YL, Soros VB, Kreisberg JF, Stopak K, Yonemoto W, Greene WC.	Chiu YL	262	Nature		20613846	15-04-2005	09-07-2010	64
19815723	Detection of an infectious retrovirus, XMRV, in blood cells of patients with chronic fatigue syndrome.	2009	Lombardi VC, Ruscetti FW, Das Gupta J, Pfost MA, Hagen KS, Peterson DL, Ruscetti SK, Bagni RK, Petrow-Sadowski C, Gold B, Dean M, Silverman RH, Mikovits JA.	Lombardi VC	250	Science		22194552	10-10-2009	24-12-2011	27
15084715	Probing the microRNA and small interfering RNA pathways with virus-encoded suppressors of RNA silencing.	2004	Dunoyer P, Lecellier CH, Parizotto EA, Himber C, Voinnet O.	Dunoyer P	210	Plant Cell		26036255	16-04-2004	04-06-2015	136
10700237	Regression of human metastatic renal cell carcinoma after vaccination with tumor cell-dendritic cell hybrids.	2000	Kugler A, Stuhler G, Walden P, ZÌ_ller G, Zobywalski A, Brossart P, Trefzer U, Ullrich S, MÌ_ller CA, Becker V, Gross AJ, Hemmerlein B, Kanz L, MÌ_ller GA, Ringert RH.	Kugler A	208	Nat Med		12949529	04-03-2000	02-09-2003	43
12176951	Multiple atherosclerotic plaque rupture in acute coronary syndrome: a three-vessel intravascular ultrasound study.	2002	Rioufol G, Finet G, Ginon I, AndrÌ©-FouÌÇt X, Rossi R, Vialle E, Desjoyaux E, Convert G, Huret JF, Tabib A.	Rioufol G	205	Circulation		22689939	15-08-2002	13-06-2012	120
17057710	Genomic signatures to guide the use of chemotherapeutics.	2006	Potti A, Dressman HK, Bild A, Riedel RF, Chan G, Sayer R, Cragun J, Cottrill H, Kelley MJ, Petersen R, Harpole D, Marks J, Berchuck A, Ginsburg GS, Febbo P, Lancaster J, Nevins JR.	Potti A	202	Nat Med		21217686	24-10-2006	11-01-2011	51
18849962	Generation of pluripotent stem cells from adult human testis.	2008	Conrad S, Renninger M, Hennenlotter J, Wiesner T, Just L, Bonin M, Aicher W, BÌ_hring HJ, Mattheus U, Mack A, Wagner HJ, Minger S, Matzkies M, Reppel M, Hescheler J, Sievert KD, Stenzl A, Skutella T.	Conrad S	198	Nature		25079314	14-10-2008	01-08-2014	71
