year	pubmed	ret
1959	109972	1
1960	112118	0
1961	120051	0
1962	125570	0
1963	141296	0
1964	161900	0
1965	176555	0
1966	179847	0
1967	191692	0
1968	207713	0
1969	214878	0
1970	219001	0
1971	223075	0
1972	227239	0
1973	230688	1
1974	234577	0
1975	248397	5
1976	254317	3
1977	261173	1
1978	271570	8
1979	280825	7
1980	279486	12
1981	282257	16
1982	294399	6
1983	308276	13
1984	317255	13
1985	334098	12
1986	348148	8
1987	366062	12
1988	384246	13
1989	400740	27
1990	408510	37
1991	410092	32
1992	415733	28
1993	423648	22
1994	435271	40
1995	446397	45
1996	456036	45
1997	453545	53
1998	471124	72
1999	490858	81
2000	528474	95
2001	541065	122
2002	556387	121
2003	582119	140
2004	618028	181
2005	654239	214
2006	681765	258
2007	707545	251
2008	747769	281
2009	780729	297
2010	818405	317
2011	869847	300
2012	932825	285
2013	989814	240
2014	1039436	229
